Country Name,Country Code,Currency Unit,Year,Overall Score,Indicator,Score
Montenegro,MNE,Euro,2016,82.2,Starting a business,86.6
Montenegro,MNE,Euro,2016,82.2,Trading across borders,91.9
Montenegro,MNE,Euro,2017,82.2,Getting Creding,85
Montenegro,MNE,Euro,2017,82.2,Resolving insolvency,65.2
Montenegro,MNE,Euro,2017,82.2,Starting a business,86.6
Montenegro,MNE,Euro,2017,82.2,Trading across borders,91.9
Montenegro,MNE,Euro,2018,82.3,Getting Creding,85
Montenegro,MNE,Euro,2018,82.3,Resolving insolvency,65.6
Montenegro,MNE,Euro,2018,82.3,Starting a business,86.6
Montenegro,MNE,Euro,2018,82.3,Trading across borders,91.9
Montenegro,MNE,Euro,2019,82.4,Getting Creding,85
Montenegro,MNE,Euro,2019,82.4,Resolving insolvency,66
Montenegro,MNE,Euro,2019,82.4,Starting a business,86.7
Montenegro,MNE,Euro,2019,82.4,Trading across borders,91.9
Montenegro,MNE,Euro,2020,82.4,Getting Creding,85
Montenegro,MNE,Euro,2020,82.4,Resolving insolvency,66.1
Montenegro,MNE,Euro,2020,82.4,Starting a business,86.7
Montenegro,MNE,Euro,2020,82.4,Trading across borders,91.9
Netherlands,NLD,Euro,2016,79.5,Getting Creding,40
Netherlands,NLD,Euro,2016,79.5,Resolving insolvency,83.8
Netherlands,NLD,Euro,2016,79.5,Starting a business,94.3
Netherlands,NLD,Euro,2016,79.5,Trading across borders,100
Netherlands,NLD,Euro,2017,79.6,Getting Creding,40
Netherlands,NLD,Euro,2017,79.6,Resolving insolvency,84
Netherlands,NLD,Euro,2017,79.6,Starting a business,94.3
Netherlands,NLD,Euro,2017,79.6,Trading across borders,100
Netherlands,NLD,Euro,2018,80.9,Getting Creding,45
Netherlands,NLD,Euro,2018,80.9,Resolving insolvency,84.2
Netherlands,NLD,Euro,2018,80.9,Starting a business,94.3
Netherlands,NLD,Euro,2018,80.9,Trading across borders,100
Netherlands,NLD,Euro,2019,80.9,Getting Creding,45
Netherlands,NLD,Euro,2019,80.9,Resolving insolvency,84.3
Netherlands,NLD,Euro,2019,80.9,Starting a business,94.3
Netherlands,NLD,Euro,2019,80.9,Trading across borders,100
Netherlands,NLD,Euro,2020,80.9,Getting Creding,45
Netherlands,NLD,Euro,2020,80.9,Resolving insolvency,84.4
Netherlands,NLD,Euro,2020,80.9,Starting a business,94.3
Netherlands,NLD,Euro,2020,80.9,Trading across borders,100
Portugal,PRT,Euro,2016,79.2,Getting Creding,45
Portugal,PRT,Euro,2016,79.2,Resolving insolvency,80.6
Portugal,PRT,Euro,2016,79.2,Starting a business,91
Portugal,PRT,Euro,2016,79.2,Trading across borders,100
Portugal,PRT,Euro,2017,79.3,Getting Creding,45
Portugal,PRT,Euro,2017,79.3,Resolving insolvency,81.2
Portugal,PRT,Euro,2017,79.3,Starting a business,91
Portugal,PRT,Euro,2017,79.3,Trading across borders,100
Portugal,PRT,Euro,2018,78.9,Getting Creding,45
Portugal,PRT,Euro,2018,78.9,Resolving insolvency,79.7
Portugal,PRT,Euro,2018,78.9,Starting a business,90.9
Portugal,PRT,Euro,2018,78.9,Trading across borders,100
Portugal,PRT,Euro,2019,79,Getting Creding,45
Portugal,PRT,Euro,2019,79,Resolving insolvency,80
Portugal,PRT,Euro,2019,79,Starting a business,90.9
Portugal,PRT,Euro,2019,79,Trading across borders,100
Portugal,PRT,Euro,2020,79,Getting Creding,45
Portugal,PRT,Euro,2020,79,Resolving insolvency,80.2
Portugal,PRT,Euro,2020,79,Starting a business,90.9
Portugal,PRT,Euro,2020,79,Trading across borders,100
San Marino,SMR,Euro,2016,56.3,Getting Creding,5
San Marino,SMR,Euro,2016,56.3,Resolving insolvency,39.2
San Marino,SMR,Euro,2016,56.3,Starting a business,83.7
San Marino,SMR,Euro,2016,56.3,Trading across borders,97.5
San Marino,SMR,Euro,2017,56.5,Getting Creding,5
San Marino,SMR,Euro,2017,56.5,Resolving insolvency,39.5
San Marino,SMR,Euro,2017,56.5,Starting a business,83.8
San Marino,SMR,Euro,2017,56.5,Trading across borders,97.5
San Marino,SMR,Euro,2018,56.4,Getting Creding,5
San Marino,SMR,Euro,2018,56.4,Resolving insolvency,39.5
San Marino,SMR,Euro,2018,56.4,Starting a business,83.6
San Marino,SMR,Euro,2018,56.4,Trading across borders,97.5
San Marino,SMR,Euro,2019,63.1,Getting Creding,30
San Marino,SMR,Euro,2019,63.1,Resolving insolvency,41.2
San Marino,SMR,Euro,2019,63.1,Starting a business,83.7
San Marino,SMR,Euro,2019,63.1,Trading across borders,97.5
San Marino,SMR,Euro,2020,64,Getting Creding,30
San Marino,SMR,Euro,2020,64,Resolving insolvency,41.1
San Marino,SMR,Euro,2020,64,Starting a business,87.3
San Marino,SMR,Euro,2020,64,Trading across borders,97.5
Slovak Republic,SVK,Euro,2016,80.5,Getting Creding,70
Slovak Republic,SVK,Euro,2016,80.5,Resolving insolvency,70
Slovak Republic,SVK,Euro,2016,80.5,Starting a business,81.8
Slovak Republic,SVK,Euro,2016,80.5,Trading across borders,100
Slovak Republic,SVK,Euro,2017,80.6,Getting Creding,70
Slovak Republic,SVK,Euro,2017,80.6,Resolving insolvency,70.5
Slovak Republic,SVK,Euro,2017,80.6,Starting a business,81.9
Slovak Republic,SVK,Euro,2017,80.6,Trading across borders,100
Slovak Republic,SVK,Euro,2018,79.5,Getting Creding,70
Slovak Republic,SVK,Euro,2018,79.5,Resolving insolvency,66.1
Slovak Republic,SVK,Euro,2018,79.5,Starting a business,82
Slovak Republic,SVK,Euro,2018,79.5,Trading across borders,100
Slovak Republic,SVK,Euro,2019,79.7,Getting Creding,70
Slovak Republic,SVK,Euro,2019,79.7,Resolving insolvency,66.9
Slovak Republic,SVK,Euro,2019,79.7,Starting a business,82
Slovak Republic,SVK,Euro,2019,79.7,Trading across borders,100
Slovak Republic,SVK,Euro,2020,80.1,Getting Creding,70
Slovak Republic,SVK,Euro,2020,80.1,Resolving insolvency,65.5
Slovak Republic,SVK,Euro,2020,80.1,Starting a business,84.8
Slovak Republic,SVK,Euro,2020,80.1,Trading across borders,100
Slovenia,SVN,Euro,2016,78.2,Getting Creding,35
Slovenia,SVN,Euro,2016,78.2,Resolving insolvency,83.4
Slovenia,SVN,Euro,2016,78.2,Starting a business,94.5
Slovenia,SVN,Euro,2016,78.2,Trading across borders,100
Slovenia,SVN,Euro,2017,78.4,Getting Creding,35
Slovenia,SVN,Euro,2017,78.4,Resolving insolvency,84
Slovenia,SVN,Euro,2017,78.4,Starting a business,94.6
Slovenia,SVN,Euro,2017,78.4,Trading across borders,100
